id,prefix_id,district_id,house,corpus,liter,villa,parcel,full_address,is_updated,is_actual,type,municipality_id,short_address,post_prefix,build_number
113567,7251,34,14,,Р,,,"г.Санкт-Петербург, Репищева улица, дом 14, литера Р",True,False,Нежилое,69.0,"г.Санкт-Петербург, Репищева ул., д. 14, л. Р",,
113604,6944,16,11/21,,Б,,,"г.Санкт-Петербург, Петергофское шоссе, дом 11/21, литера Б",True,False,Жилое,38.0,"г.Санкт-Петербург, Петергофское шоссе, д. 11/21, л. Б",,
2536,6560,11,5,,А,,,"г.Санкт-Петербург, улица Молдагуловой, дом 5",True,False,Неизвестно,33.0,"г.Санкт-Петербург, ул. Молдагуловой, д. 5",,
64122,5902,7,63,,Б,,,"г.Санкт-Петербург, Каменноостровский проспект, дом 63, литера Б",True,False,Нежилое,61.0,"г.Санкт-Петербург, Каменноостровский пр., д. 63, л. Б",197022,
2664,6116,32,21,,Б,,,"г.Санкт-Петербург, 12-я Красноармейская улица, дом 21, литера Б",True,False,Неизвестно,5.0,"г.Санкт-Петербург, 12-я Красноармейская ул., д. 21, л. Б",,
99325,5953,16,1,2,А,,,"г.Санкт-Петербург, Володарский, улица Кирова, дом 1, корпус 2",True,False,Нежилое,41.0,"г.Санкт-Петербург, Володарский, ул. Кирова, д. 1, к. 2",198218,
192216,9501,35,б/н,,Ц,,,"город Пушкин, Екатерининский парк, дом б/н, литера Ц",False,False,,107.0,"г.Пушкин, Екатерининский парк, д. б/н, л. Ц",,
131875,5253,12,4,,Х,,,"г.Санкт-Петербург, улица Бехтерева, дом 4, литера Х",True,False,,49.0,"г.Санкт-Петербург, ул. Бехтерева, д. 4, л. Х",,
30221,6578,32,67,,Я,,,"г.Санкт-Петербург, Большая Морская улица, дом 67, литера Я",True,False,Нежилое,3.0,"г.Санкт-Петербург, Большая Морская ул., д. 67, л. Я",,
70436,8858,16,3,,А-а1,,,"город Красное Село, Пролетарская улица, дом 3, литера А-а1",True,False,,43.0,"г.Красное Село, Пролетарская ул., д. 3, л. А-а1",,
70724,12423,21,60,,АБ,,,"город Петергоф, Санкт-Петербургский проспект, дом 60, литера АБ",True,False,Нежилое,106.0,"г.Петергоф, Санкт-Петербургский пр., д. 60, л. АБ",198516,
138141,11235,38,19а,,А,,,"город Сестрорецк, улица Николая Соколова, дом 19а",True,False,,108.0,"г.Сестрорецк, ул. Николая Соколова, д. 19а",,
186709,6377,36,74б,,А,,,"поселок Парголово, улица Ломоносова, дом 74б",True,False,,116.0,"пос. Парголово, ул. Ломоносова, д. 74б",,
43965,7886,11,39,,А,,,"г.Санкт-Петербург, проспект Шаумяна, дом 39",True,False,,34.0,"г.Санкт-Петербург, пр. Шаумяна, д. 39",,
131922,5274,12,7,3,А,,,"г.Санкт-Петербург, проспект Большевиков, дом 7, корпус 3",True,False,,54.0,"г.Санкт-Петербург, пр. Большевиков, д. 7, к. 3",,
192319,9610,38,61,,Б,,,"город Сестрорецк, садоводство ""Разлив"", 11-я дорожка, дом 61, литера Б",True,False,,108.0,"г.Сестрорецк, садоводство ""Разлив"", 11-я дорожка, д. 61, л. Б",,
138127,11205,35,4,2,Е,,,"город Пушкин, Автомобильная улица, дом 4, корпус 2, литера Е",False,False,,107.0,"г.Пушкин, Автомобильная ул., д. 4, к. 2, л. Е",,
84332,5145,14,13,,Т,,,"г.Санкт-Петербург, Алтайская улица, дом 13, литера Т",True,False,Нежилое,48.0,"г.Санкт-Петербург, Алтайская ул., д. 13, л. Т",196066,
130093,5980,14,21,,И,,,"г.Санкт-Петербург, улица Коли Томчака, дом 21, литера И",True,False,Нежилое,44.0,"г.Санкт-Петербург, ул. Коли Томчака, д. 21, л. И",,
132057,5358,14,5,2,Д,,,"г.Санкт-Петербург, Взлётная улица, дом 5, корпус 2, литера Д",False,False,,47.0,"г.Санкт-Петербург, Взлётная ул., д. 5, к. 2, л. Д",,
186038,5637,38,3,,Б,,,"поселок Белоостров, Дибунский переулок, дом 3, литера Б",True,False,,110.0,"пос. Белоостров, Дибунский пер., д. 3, л. Б",,
98233,5829,36,40,,А,,,"поселок Парголово, Михайловка, Зональная улица, дом 40",True,False,Жилое,116.0,"пос. Парголово, Михайловка, Зональная ул., д. 40",,
187395,6950,1,2,,КС,,,"город Кронштадт, Петровская улица, дом 2, литера КС",False,False,,0.0,"г.Кронштадт, Петровская ул., д. 2, л. КС",,
138487,13584,38,219,,А,,,"поселок Солнечное, Солнечное-2, дом 219",True,False,,124.0,"пос. Солнечное, Солнечное-2, д. 219",,
49626,5990,7,14/41,,А,,,"г.Санкт-Петербург, Колпинская улица, дом 14/41",True,False,Нежилое,62.0,"г.Санкт-Петербург, Колпинская ул., д. 14/41",197198,
58153,6555,32,1,,А,,,"г.Санкт-Петербург, Можайская улица, дом 1",True,False,Нежилое,4.0,"г.Санкт-Петербург, Можайская ул., д. 1",,
140581,10702,35,50,2,Д,,,"посёлок Шушары, Пулковское шоссе, дом 50, корпус 2, литера Д",False,False,,201.0,"пос. Шушары, Пулковское шоссе, д. 50, к. 2, л. Д",,
132649,5837,34,12,2,Б,,,"поселок Лисий Нос, Ивановская улица, дом 12, корпус 2, литера Б",True,False,,113.0,"пос. Лисий Нос, Ивановская ул., д. 12, к. 2, л. Б",,
133133,6128,11,3,,Л,,,"г.Санкт-Петербург, Красногвардейская площадь, дом 3, литера Л",False,False,,33.0,"г.Санкт-Петербург, Красногвардейская пл., д. 3, л. Л",,
133294,6208,14,52,18,А,,,"г.Санкт-Петербург, Кузнецовская улица, дом 52, корпус 18",False,False,,245.0,"г.Санкт-Петербург, Кузнецовская ул., д. 52, к. 18",,
124755,7335,36,42,,Б,,,"г.Санкт-Петербург, Большой Сампсониевский проспект, дом 42, литера Б",True,False,Нежилое,12.0,"г.Санкт-Петербург, Большой Сампсониевский пр., д. 42, л. Б",,
124757,5910,36,3,1,А,,,"г.Санкт-Петербург, Кантемировская улица, дом 3, корпус 1",True,False,,12.0,"г.Санкт-Петербург, Кантемировская ул., д. 3, к. 1",,
124807,7760,10,25,1,А,,,"г.Санкт-Петербург, улица Ушинского, дом 25, корпус 1",True,False,,21.0,"г.Санкт-Петербург, ул. Ушинского, д. 25, к. 1",,
124827,6443,11,64,,Д,,,"г.Санкт-Петербург, Малоохтинский проспект, дом 64, литера Д",True,False,Нежилое,34.0,"г.Санкт-Петербург, Малоохтинский пр., д. 64, л. Д",,
124828,6443,11,64,,Е,,,"г.Санкт-Петербург, Малоохтинский проспект, дом 64, литера Е",True,False,Нежилое,34.0,"г.Санкт-Петербург, Малоохтинский пр., д. 64, л. Е",,
2916,5989,34,4,,Т,,,"г.Санкт-Петербург, Коломяжский проспект, дом 4, литера Т",True,False,Нежилое,66.0,"г.Санкт-Петербург, Коломяжский пр., д. 4, л. Т",197183,
13103,7134,13,1,,О,,,"г.Санкт-Петербург, Прогонная улица, дом 1, литера О",True,False,Нежилое,71.0,"г.Санкт-Петербург, Прогонная ул., д. 1, л. О",,
45089,7127,34,37,,А,,,"г.Санкт-Петербург, Приморский проспект, дом 37",True,False,Неизвестно,66.0,"г.Санкт-Петербург, Приморский пр., д. 37",,
69678,6152,21,16,,В,,,"город Ломоносов, Краснофлотское шоссе, дом 16, литера В",True,False,,104.0,"г.Ломоносов, Краснофлотское шоссе, д. 16, л. В",,
88953,6827,14,61,,А,,,"г.Санкт-Петербург, улица Орджоникидзе, дом 61",True,False,Нежилое,45.0,"г.Санкт-Петербург, ул. Орджоникидзе, д. 61",,
89058,7745,16,12,1,А,,,"г.Санкт-Петербург, Володарский, улица Урицкого, дом 12, корпус 1",True,False,Нежилое,41.0,"г.Санкт-Петербург, Володарский, ул. Урицкого, д. 12, к. 1",198218,
12199,4302,38,19б,,А,,,"город Сестрорецк, набережная реки Сестры, дом 19б",True,False,Нежилое,108.0,"г.Сестрорецк, наб. реки Сестры, д. 19б",,
134596,6901,36,68,2,А,,,"посёлок Парголово, Михайловка, улица Первого Мая, дом 68, корпус 2",False,False,,116.0,"пос. Парголово, Михайловка, ул. Первого Мая, д. 68, к. 2",,
81391,10827,13,11,,А,,,"г.Санкт-Петербург, Малая Каштановая аллея, дом 11",True,False,,74.0,"г.Санкт-Петербург, Малая Каштановая аллея, д. 11",,
131749,5158,12,9,1,А,,,"г.Санкт-Петербург, улица Антонова-Овсеенко, дом 9, корпус 1",True,False,,55.0,"г.Санкт-Петербург, ул. Антонова-Овсеенко, д. 9, к. 1",,
127600,6034,37,,,,,1,"поселок Петро-Славянка, Комсомольская улица, участок 1",True,False,Жилое,117.0,"пос. Петро-Славянка, Комсомольская ул., уч. 1",,
129123,6985,36,21,,К,,,"поселок Парголово, Пляжевая улица, дом 21, литера К",True,False,Нежилое,116.0,"пос. Парголово, Пляжевая ул., д. 21, л. К",,
24702,6578,31,13,,А,,,"г.Санкт-Петербург, Большая Морская улица, дом 13",True,False,Нежилое,78.0,"г.Санкт-Петербург, Большая Морская ул., д. 13",,
79180,6345,31,11,,А,,,"г.Санкт-Петербург, Лиговский проспект, дом 11",True,False,Жилое,80.0,"г.Санкт-Петербург, Лиговский пр., д. 11",191014,
129221,7871,31,16/5,,Б,,,"г.Санкт-Петербург, улица Черняховского, дом 16/5, литера Б",True,False,Неизвестно,81.0,"г.Санкт-Петербург, ул. Черняховского, д. 16/5, л. Б",,
129329,6288,35,14,,А,,,"город Пушкин, Ленинградская улица, дом 14",True,False,Смешанное,107.0,"г.Пушкин, Ленинградская ул., д. 14",,
129985,7411,36,6,1,А,,,"г.Санкт-Петербург, улица Сикейроса, дом 6, корпус 1",True,False,Неизвестно,14.0,"г.Санкт-Петербург, ул. Сикейроса, д. 6, к. 1",,
116747,6981,10,40,,А,,,"г.Санкт-Петербург, Пискаревский проспект, дом 40",True,False,Жилое,22.0,"г.Санкт-Петербург, Пискаревский пр., д. 40",,
129978,5700,36,12,1,А,,,"г.Санкт-Петербург, улица Есенина, дом 12, корпус 1",True,False,Неизвестно,14.0,"г.Санкт-Петербург, ул. Есенина, д. 12, к. 1",,
133639,6402,7,7,,Б,,,"г.Санкт-Петербург, улица Льва Толстого, дом 7, литера Б",False,False,,261.0,"г.Санкт-Петербург, ул. Льва Толстого, д. 7, л. Б",,
16274,9443,6,65,,А,,,"г.Санкт-Петербург, 16-я линия В.О., дом 65",True,False,Жилое,8.0,"г.Санкт-Петербург, 16-я линия В.О., д. 65",199178,
92307,7010,16,38,5,А,,,"г.Санкт-Петербург, улица Пограничника Гарькавого, дом 38, корпус 5",True,False,Нежилое,41.0,"г.Санкт-Петербург, ул. Пограничника Гарькавого, д. 38, к. 5",,
206795,14194,34,51,16,,,,"г.Санкт-Петербург, Лахта, Новая улица, дом 51, корпус 16",True,False,,264.0,"г.Санкт-Петербург, Лахта, Новая ул., д. 51, к. 16",,
39412,7639,37,36,2,А,,,"город Колпино, Тверская улица, дом 36, корпус 2",True,False,Нежилое,102.0,"г.Колпино, Тверская ул., д. 36, к. 2",,
194754,11235,38,34,,А,,,"город Сестрорецк, улица Николая Соколова, дом 34",True,False,,108.0,"г.Сестрорецк, ул. Николая Соколова, д. 34",,
39453,5315,13,130,2,А,,,"г.Санкт-Петербург, Бухарестская улица, дом 130, корпус 2",True,False,Жилое,75.0,"г.Санкт-Петербург, Бухарестская ул., д. 130, к. 2",192288,
16291,5331,7,9,,А,,,"г.Санкт-Петербург, Введенская улица, дом 9",True,False,Жилое,58.0,"г.Санкт-Петербург, Введенская ул., д. 9",197198,
112714,9403,38,24б,,А,,,"город Сестрорецк, проспект Красных Командиров, дом 24б",True,False,Жилое,108.0,"г.Сестрорецк, пр. Красных Командиров, д. 24б",,
100060,7314,31,28-30,30,Б,,,"г.Санкт-Петербург, Садовая улица, дом 28-30, корпус 30, литера Б",True,False,,78.0,"г.Санкт-Петербург, Садовая ул., д. 28-30, к. 30, л. Б",,
131780,5190,36,17,2,А,,,"поселок Парголово, Михайловка, Байкальская улица, дом 17, корпус 2",True,False,,116.0,"пос. Парголово, Михайловка, Байкальская ул., д. 17, к. 2",,
46812,6273,16,7,,,,,"г.Санкт-Петербург, Володарский, проспект Ленина, дом 7",True,False,Неизвестно,41.0,"г.Санкт-Петербург, Володарский, пр. Ленина, д. 7",,
18576,5726,12,40,,Ж,,,"г.Санкт-Петербург, Железнодорожный проспект, дом 40, литера Ж",True,False,Нежилое,50.0,"г.Санкт-Петербург, Железнодорожный пр., д. 40, л. Ж",,
18667,8796,16,32,,"А,а",,,"г.Санкт-Петербург, Старо-Паново, Поселковая улица, дом 32, литера А,а",True,False,,42.0,"г.Санкт-Петербург, Старо-Паново, Поселковая ул., д. 32, л. А,а",,
83525,5207,14,71,,А,,,"г.Санкт-Петербург, Бассейная улица, дом 71",True,False,,45.0,"г.Санкт-Петербург, Бассейная ул., д. 71",,
131822,5220,13,42,1,А,,,"г.Санкт-Петербург, Белградская улица, дом 42, корпус 1",True,False,,74.0,"г.Санкт-Петербург, Белградская ул., д. 42, к. 1",,
131897,5274,12,39,1,Ы,,,"г.Санкт-Петербург, проспект Большевиков, дом 39, корпус 1, литера Ы",True,False,,54.0,"г.Санкт-Петербург, пр. Большевиков, д. 39, к. 1, л. Ы",,
131899,5274,12,5,,А,,,"г.Санкт-Петербург, проспект Большевиков, дом 5",True,False,,54.0,"г.Санкт-Петербург, пр. Большевиков, д. 5",,
131826,5229,13,13,4,А,,,"г.Санкт-Петербург, улица Белы Куна, дом 13, корпус 4",True,False,,72.0,"г.Санкт-Петербург, ул. Белы Куна, д. 13, к. 4",,
132009,5318,10,8,1,Д,,,"г.Санкт-Петербург, улица Вавиловых, дом 8, корпус 1, литера Д",True,False,,19.0,"г.Санкт-Петербург, ул. Вавиловых, д. 8, к. 1, л. Д",,
132115,5387,38,12,24,А,,,"поселок Солнечное, Вокзальная улица, дом 12, корпус 24",True,False,,124.0,"пос. Солнечное, Вокзальная ул., д. 12, к. 24",,
136882,8754,21,2,5,О,,,"поселок Стрельна, Нижняя дорога, дом 2, корпус 5, литера О",True,False,,125.0,"пос. Стрельна, Нижняя дор., д. 2, к. 5, л. О",,
2925,12538,21,115а,,А,,,"город Петергоф, Цветочная улица, дом 115а",True,False,Нежилое,106.0,"г.Петергоф, Цветочная ул., д. 115а",198504,
48025,6071,34,42,3,А,,,"г.Санкт-Петербург, проспект Королева, дом 42, корпус 3",True,False,,69.0,"г.Санкт-Петербург, пр. Королева, д. 42, к. 3",,
132121,5392,13,3б,,А,,,"г.Санкт-Петербург, набережная реки Волковки, дом 3б",True,False,,71.0,"г.Санкт-Петербург, наб. реки Волковки, д. 3б",,
80326,9403,38,9,,Б,,,"город Сестрорецк, проспект Красных Командиров, дом 9, литера Б",True,False,,108.0,"г.Сестрорецк, пр. Красных Командиров, д. 9, л. Б",,
132160,5410,16,8,,А,,,"г.Санкт-Петербург, Володарский, Волхонский переулок, дом 8",True,False,,41.0,"г.Санкт-Петербург, Володарский, Волхонский пер., д. 8",,
83897,9440,6,18,,А,,,"г.Санкт-Петербург, 13-я линия В.О., дом 18",True,False,Нежилое,7.0,"г.Санкт-Петербург, 13-я линия В.О., д. 18",199178,
186448,6143,21,3,,В,,,"город Ломоносов, Краснопрудская улица, дом 3, литера В",False,False,,104.0,"г.Ломоносов, Краснопрудская ул., д. 3, л. В",,
138520,13584,38,3,,А,,,"поселок Солнечное, Солнечное-2, дом 3",True,False,,124.0,"пос. Солнечное, Солнечное-2, д. 3",,
96117,6255,11,4,2,А,,,"г.Санкт-Петербург, улица Лазо, дом 4, корпус 2",True,False,Неизвестно,36.0,"г.Санкт-Петербург, ул. Лазо, д. 4, к. 2",195030,
40253,12531,21,28,,А,,,"город Петергоф, Скороход, Средняя улица, дом 28",True,False,Жилое,106.0,"г.Петергоф, Скороход, Средняя ул., д. 28",,
77775,8533,34,100,,А,,,"поселок Лисий Нос, Приморское шоссе, дом 100",True,False,,113.0,"пос. Лисий Нос, Приморское шоссе, д. 100",,
187162,6754,32,60,,А,,,"г.Санкт-Петербург, набережная Обводного канала, дом 60",False,False,,6.0,"г.Санкт-Петербург, наб. Обводного канала, д. 60",,
2341,6796,36,39а,,,,,"г.Санкт-Петербург, Большая Озерная улица, дом 39а",True,False,Жилое,17.0,"г.Санкт-Петербург, Большая Озерная ул., д. 39а",,
5471,9202,50,3,,,,,"город Кронштадт, Тулонская аллея, дом 3",True,False,Неизвестно,103.0,"г.Кронштадт, Тулонская аллея, д. 3",,
17646,8033,16,10,,А,,,"г.Санкт-Петербург, Володарский, Красносельское шоссе, дом 10",True,False,,41.0,"г.Санкт-Петербург, Володарский, Красносельское шоссе, д. 10",,
192745,9926,16,69,,А,,,"г.Санкт-Петербург, Торики, садоводство ""Дружный-2"", Южная аллея, дом 69",True,False,,42.0,"г.Санкт-Петербург, Торики, садоводство ""Дружный-2"", Южная аллея, д. 69",,
136069,7843,12,25,,А1,,,"г.Санкт-Петербург, улица Цимбалина, дом 25, литера А1",False,False,,50.0,"г.Санкт-Петербург, ул. Цимбалина, д. 25, л. А1",,
133174,6144,15,46,8,БЧ,,,"г.Санкт-Петербург, Краснопутиловская улица, дом 46, корпус 8, литера БЧ",True,False,,46.0,"г.Санкт-Петербург, Краснопутиловская ул., д. 46, к. 8, л. БЧ",,
191100,9096,34,19/58,,А,,,"г.Санкт-Петербург, Коннолахтинский проспект, дом 19/58",False,False,,264.0,"г.Санкт-Петербург, Коннолахтинский пр., д. 19/58",,
188484,7863,38,9,,Б,,,"город Сестрорецк, Черничная улица, дом 9, литера Б",True,False,,108.0,"г.Сестрорецк, Черничная ул., д. 9, л. Б",,
7789,5543,31,27/2,,А,,,"г.Санкт-Петербург, Греческий проспект, дом 27/2",True,False,Жилое,80.0,"г.Санкт-Петербург, Греческий пр., д. 27/2",191036,
100484,6521,31,4/1,,В,,,"г.Санкт-Петербург, Миллионная улица, дом 4/1, литера В",True,False,Нежилое,77.0,"г.Санкт-Петербург, Миллионная ул., д. 4/1, л. В",,
140461,7807,15,12,3,Б,,,"г.Санкт-Петербург, Химический переулок, дом 12, корпус 3, литера Б",False,False,,229.0,"г.Санкт-Петербург, Химический пер., д. 12, к. 3, л. Б",,
60301,9464,6,98,,А,,,"г.Санкт-Петербург, Средний проспект В.О., дом 98",True,False,Неизвестно,9.0,"г.Санкт-Петербург, Средний пр. В.О., д. 98",199106,
60314,8196,16,43,,,,,"г.Санкт-Петербург, Торики, Аннинское шоссе, дом 43",True,False,Жилое,42.0,"г.Санкт-Петербург, Торики, Аннинское шоссе, д. 43",,
